,ERA5,ERA5-Land,JRA55,CFSR,HARv2,TerraClimate
1987-06-01,0.0797979575075967,0.15629265695649447,0.21411043865541202,-0.23617530732792053,-0.01767524059944779,0.5810519070215301
1987-07-01,0.2768996267867819,0.20331313433021572,0.336205104771188,-0.20612006913116182,0.07280012658503421,0.4884410855923717
1987-08-01,0.14495364338355168,0.09956293550833636,-0.3582964715384474,0.020571207069774708,0.16590656221104913,0.06301764989344648
1987-09-01,0.3201638650538185,0.36970131687220276,0.10832355005268578,0.31319084586701856,0.23100912431332457,0.18112432461271136
1987-10-01,0.3958191792312725,0.31085050336776177,0.5151689654749071,0.22570683696669777,0.33965352227274853,0.3340283403193368
1987-11-01,0.10968305651535984,-4.9399681844110875e-05,-0.019712231329159533,-0.15920812447222565,-0.07872115405083623,0.15047523615602065
1987-12-01,0.03203602904338934,0.03517466667755942,0.046601097291455736,-0.23681988298732679,-0.07665861314308839,0.23681595768476005
1988-01-01,-0.11945728119705515,-0.12858344145830675,0.012309041876003284,-0.4588044133229444,-0.2293987808896874,0.12720834444655257
1988-02-01,-0.24879599529073454,-0.23979715988957798,-0.024082001778273094,-0.3068394381913338,-0.27439625003295104,0.12065906455895264
1988-03-01,-0.16110912015579656,-0.03808453213795855,-0.00028388746711690085,0.05333962083024221,-0.09886416016410463,0.19976077815777424
1988-04-01,-0.11810836379648117,0.10335993776032833,-0.12037168045386071,0.3035575226358085,-0.06063126098980263,0.24423951388013007
1988-05-01,0.04173967917408787,0.3155249512892408,-0.015897611792961577,0.4664097753465085,0.07967413681024155,0.33660977508044704
1988-06-01,-0.004327830117197396,0.1765234952606758,-0.18007507197099393,0.37651977634690836,-0.08099432819738353,0.22920437242332115
1988-07-01,-0.037851781042192945,0.10165396386223596,-0.23806679105289014,0.15189830035361263,-0.09346812364173678,0.17220271227372538
1988-08-01,0.007067182180570567,0.11116318514284387,-0.19425934030260888,-0.2508340766071682,0.016800118254159346,0.0187803461614215
1988-09-01,0.19209095742622914,0.22285348206393563,-0.0022678745545770393,-0.017959084340825947,0.2059433037080988,0.06509273165195842
1988-10-01,-0.030097914424562312,-0.0680813942979929,-0.25374723743513106,-0.14458053759772033,0.040506144151676464,-0.4047991548829387
1988-11-01,-0.11919630683102012,-0.14767497105640148,-0.25279351430809927,-0.4152979040921842,-0.10370858188810947,-0.4979001783651931
1988-12-01,-0.1862849987824971,-0.18053281190925546,-0.21210093155350673,-0.709265143073773,-0.12524218874332,-0.2546966892163693
1989-01-01,-0.018493418814971626,0.10403501991615792,0.04885302524443206,-0.45309705996751803,0.03990492150096977,-0.11832316872455077
1989-02-01,0.04941338486211998,0.2340285883770025,0.10949722982260937,-0.31575897470338116,0.10854267723362754,0.02269485153565873
1989-03-01,0.05232618229286974,0.3358756179505165,0.119766807937036,-0.2551045025473178,0.029567349679957614,0.035613386995518734
1989-04-01,0.040554163775630675,0.31879721308918313,0.10441984321827687,-0.4721822415989606,0.06094253308297488,0.11908585180369438
1989-05-01,0.07631886540880156,0.36470968951632826,0.0802486946105325,-0.41810017751050993,0.07106873028128981,0.07819446478116392
1989-06-01,0.2873001873168536,0.551420556761941,0.27469339955982447,-0.10731571580447034,0.41059896539003704,0.17481898274134297
1989-07-01,0.32310414745949323,0.46468907778515206,0.1998088354603174,-0.04429263828963954,0.25481240457195903,0.08986919039419
1989-08-01,0.4504415712216614,0.5990670129013654,0.26697637488747483,0.02360662184338235,0.4395755944769671,0.15553019985408434
1989-09-01,0.06887671269419413,0.1169058624304789,0.055946954389400706,-0.29253578648341416,0.16960361553338027,-0.07143709533587851
1989-10-01,0.09176099973052003,0.15588750933409645,0.1745403417947447,-0.3494436824014398,0.11029816363690753,-0.0077416846223848194
1989-11-01,0.24990071017088328,0.3065311088775732,0.2623675157734212,-0.14798108759668357,0.34288337953822196,0.14294224125331476
1989-12-01,0.35586945169692574,0.42002115668086465,0.2965798168096445,0.0025047320917976038,0.4286888607585335,0.16147868514259148
