          1870        2023
 1957    -0.87   -0.31    0.23    0.34    0.56    0.90    1.19    1.14    0.68    0.83    1.02    1.16
 1958     1.19    0.91    0.56    0.07   -0.16    0.04   -0.01    0.08   -0.21   -0.27   -0.14   -0.08
 1959    -0.02   -0.03   -0.03    0.12   -0.15   -0.43   -0.38   -0.50   -0.42    0.11   -0.24   -0.15
 1960    -0.07   -0.37   -0.15   -0.31   -0.17   -0.33   -0.30    0.03    0.13   -0.35   -0.74   -0.32
 1961    -0.34    0.10   -0.13    0.30    0.06    0.09   -0.67   -0.59   -0.93   -0.92   -0.32   -0.32
 1962    -0.17   -0.13   -0.59   -0.77   -0.73   -0.55   -0.39   -0.10   -0.55   -0.50   -0.68   -0.79
 1963    -0.37   -0.37   -0.00   -0.02    0.06    0.39    0.84    0.90    0.63    0.78    0.67    0.96
 1964     0.44    0.03   -0.36   -1.03   -1.38   -1.23   -0.65   -1.03   -0.77   -0.92   -0.93   -1.13
 1965    -0.70   -0.36   -0.17    0.10    0.54    0.71    0.94    1.32    1.25    1.37    1.43    1.30
 1966     1.12    0.51    0.05   -0.02   -0.60   -0.32   -0.18   -0.50   -0.44   -0.31   -0.70   -0.69
 1967    -0.49   -0.42   -0.47   -0.69   -0.41   -0.12   -0.42   -0.71   -0.95   -0.96   -0.92   -0.85
 1968    -1.16   -1.32   -1.18   -0.70   -0.85   -0.09    0.26    0.38    0.29    0.26    0.37    0.56
 1969     0.37    0.32    0.42    0.36    0.65    0.67    0.30    0.60    0.68    0.82    0.85    0.86
 1970     0.66    0.13   -0.10   -0.24   -0.62   -0.86   -1.68   -1.49   -1.07   -0.87   -1.15   -1.26
 1971    -1.31   -1.42   -1.17   -0.78   -0.87   -0.81   -0.62   -0.81   -0.76   -1.08   -1.09   -1.15
 1972    -0.57   -0.32   -0.20    0.32    0.49    0.93    1.33    2.02    1.64    1.92    2.15    2.44
 1973     1.62    0.81    0.31   -0.33   -0.89   -0.96   -1.25   -1.22   -1.18   -1.35   -1.59   -1.60
 1974    -1.58   -1.19   -0.94   -0.57   -0.37   -0.22   -0.22    0.04   -0.23   -0.63   -0.75   -0.74
 1975    -0.44   -0.50   -0.44   -0.27   -0.93   -1.10   -0.88   -0.63   -1.06   -1.22   -1.22   -1.54
 1976    -1.65   -1.02   -0.57   -0.23   -0.07    0.61    0.85    0.97    0.94    1.10    1.05    0.76
 1977     0.95    0.61    0.40   -0.51   -0.22    0.16    0.15   -0.21    0.01    0.55    0.58    0.53
 1978     0.44    0.23   -0.14   -0.72   -0.81   -0.70   -0.72   -0.72   -0.47   -0.14   -0.02    0.26
 1979    -0.09   -0.20   -0.08    0.24    0.08    0.30   -0.04    0.47    0.81    0.57    0.52    0.58
 1980     0.42    0.02   -0.13    0.04    0.07    0.35   -0.10   -0.18   -0.04   -0.26    0.01    0.20
 1981    -0.74   -0.65   -0.24   -0.33   -0.21   -0.03   -0.34   -0.32    0.04    0.11   -0.10    0.29
 1982     0.20    0.01   -0.11    0.20    0.63    0.89    0.62    1.12    1.81    2.34    2.69    3.07
 1983     2.90    2.44    2.01    1.73    1.96    1.74    1.03    0.83    0.18   -0.49   -0.79   -0.62
 1984    -0.61   -0.44   -0.25   -0.43   -0.77   -1.10   -0.59   -0.50   -0.39   -0.86   -0.98   -1.36
 1985    -1.01   -1.02   -0.94   -0.98   -1.11   -0.85   -0.90   -0.79   -0.74   -0.84   -0.68   -0.67
 1986    -0.82   -0.54   -0.47   -0.45   -0.63   -0.27    0.03   -0.03    0.32    0.77    0.88    0.74
 1987     1.04    0.98    1.05    0.95    1.07    1.12    1.34    1.43    1.63    1.23    1.16    1.07
 1988     0.51    0.09    0.10   -0.75   -1.30   -1.85   -1.77   -1.56   -1.40   -1.86   -1.84   -1.76
 1989    -1.39   -0.79   -1.04   -0.88   -0.78   -0.42   -0.27   -0.51   -0.32   -0.36   -0.34   -0.36
 1990    -0.27    0.14   -0.12    0.14    0.24    0.01   -0.08   -0.00    0.11   -0.06   -0.12   -0.03
 1991     0.18    0.03    0.00   -0.09    0.37    0.68    0.74    0.29    0.10    0.64    1.03    1.32
 1992     1.39    1.21    1.19    1.32    1.38    0.45   -0.01   -0.35   -0.35   -0.34   -0.29   -0.26
 1993    -0.06    0.24    0.36    0.92    1.05    0.63    0.13    0.01    0.09    0.21    0.11    0.00
 1994    -0.04   -0.29   -0.36   -0.43   -0.21   -0.02   -0.38   -0.19    0.01    0.62    0.85    0.94
 1995     0.84    0.58    0.06   -0.23   -0.53   -0.23   -0.10   -0.58   -0.70   -0.73   -0.75   -0.74
 1996    -0.58   -0.53   -0.29   -0.55   -0.53   -0.34   -0.26   -0.28   -0.33   -0.39   -0.49   -0.80
 1997    -0.70   -0.39    0.06    0.28    1.07    1.68    2.27    2.75    2.84    3.11    3.22    3.24
 1998     3.03    2.50    2.03    1.51    1.25    0.09   -0.17   -0.27   -0.46   -0.74   -0.71   -1.00
 1999    -0.97   -0.77   -0.37   -0.63   -0.59   -0.69   -0.64   -0.74   -0.94   -1.16   -1.42   -1.46
 2000    -1.71   -1.15   -0.82   -0.30   -0.50   -0.75   -0.58   -0.38   -0.31   -0.48   -0.72   -0.72
 2001    -0.71   -0.40   -0.10   -0.03   -0.31   -0.24   -0.17   -0.28   -0.67   -0.53   -0.59   -0.64
 2002    -0.49   -0.20    0.20    0.06    0.15    0.42    0.27    0.34    0.51    0.93    1.24    1.25
 2003     0.71    0.28    0.10   -0.42   -0.89   -0.50    0.01    0.07    0.02    0.39    0.35    0.53
 2004     0.43    0.14   -0.06   -0.04   -0.32   -0.19   -0.03    0.25    0.33    0.47    0.49    0.54
 2005     0.28   -0.11   -0.16    0.14    0.25    0.18    0.12    0.09   -0.25   -0.43   -0.92   -1.27
 2006    -0.90   -0.40   -0.58   -0.26   -0.14   -0.02   -0.01    0.36    0.71    0.85    0.93    1.06
 2007     0.63   -0.00   -0.36   -0.45   -0.76   -0.51   -0.63   -0.96   -1.29   -1.48   -1.71   -1.67
 2008    -1.60   -1.25   -0.73   -0.47   -0.19   -0.04    0.33    0.54    0.03   -0.02   -0.15   -0.63
 2009    -0.62   -0.49   -0.76   -0.07    0.34    0.71    0.89    0.72    0.76    0.78    1.19    1.47
 2010     1.10    0.79    0.61    0.53   -0.01   -0.53   -0.84   -1.07   -1.34   -1.70   -1.56   -1.55
 2011    -1.41   -0.84   -0.77   -0.36   -0.23    0.09    0.06   -0.40   -0.68   -0.98   -1.04   -0.79
 2012    -0.73   -0.14   -0.15   -0.00    0.01    0.50    0.83    0.75    0.39    0.04    0.17   -0.28
 2013    -0.59   -0.45    0.04   -0.11   -0.67   -0.71   -0.56   -0.48   -0.22   -0.10   -0.11   -0.02
 2014    -0.27   -0.65   -0.16    0.22    0.55    0.91    0.56    0.37    0.36    0.63    0.92    0.80
 2015     0.39    0.16    0.08    0.75    0.99    1.54    1.87    2.08    2.36    2.47    2.63    2.65
 2016     2.64    1.90    1.52    0.78    0.21    0.11   -0.24   -0.50   -0.19   -0.52   -0.48   -0.48
 2017    -0.09    0.40    0.24    0.42    0.31    0.06    0.08   -0.37   -0.88   -0.82   -1.10   -1.09
 2018    -1.17   -0.77   -0.87   -0.43   -0.18    0.19    0.27   -0.12    0.14    0.71    1.00    0.98
 2019     0.59    0.59    0.62    0.64    0.55    0.45    0.07    0.03   -0.22    0.10    0.44    0.25
 2020     0.37    0.20   -0.02    0.34   -0.24   -0.53   -0.36   -0.44   -0.79   -1.00   -0.89   -0.77
 2021    -0.80   -0.80   -0.64   -0.67   -0.53   -0.06   -0.17   -0.28   -0.39   -0.63   -0.87   -1.12
 2022    -0.97   -0.92   -0.72   -0.91   -0.99   -0.71   -0.38   -0.60   -0.89   -1.05   -0.72   -0.84
 2023    -0.64   -0.47    0.23    0.62    0.90    1.35    1.72    2.09    1.96    1.93    2.21  -99.99
  -99.99
  NINA3
 5N-5S 150W-90W 
 HadISST 
  Anomaly from 1981-2010
 https://psl.noaa.gov/gcos_wgsp/Timeseries/Nino3/
  units=degC
